Product Name,Current Price,Old Price,Discount,Rating,Vendor
Hp ProBook 11 G1 X360 Convertible Intel Pentium Laptop 4GB RAM 256G Touchscreen With Laptop Pouch,195000.0,0.0,0.0,5.0,Jumia
Hp Stream 11 Intel Celeron 4GB RAM- 64GB SSD WIN 10+ USB LIGHT FOR KEYBOARD,155000.0,176000.0,0.12,0.0,Jumia
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,155000.0,500000.0,0.69,1.0,Jumia
Hp ELITEBOOK 840 G5 TOUCHSCREEN CORE I7 32GB RAM/1TB SSD BACKLIT KEYBOARD FP READER WIN 11 PRO+BAG,680000.0,950000.0,0.28,5.0,Jumia
"Lenovo IDEAPAD INTEL CELERON 2.4GHZ 4GB RAM 256GB SSD 15.6"" WINS 10 PRO",298000.0,398000.0,0.25,4.8,Jumia
Hp Stream 11 Intel Celeron 4gb Ram 64gb HDD Win 10+ Keyboard Flash Light,180000.0,300000.0,0.4,1.0,Jumia
Hp EliteBook 840 G5 Intel Core I5- 16GB RAM/256GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro,470000.0,600000.0,0.22,0.0,Jumia
Hp Stream 11 Intel Celeron D/C 4GB RAM- 64GB HDD WIN 10+ BAG,220000.0,390000.0,0.44,5.0,Jumia
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,505000.0,800000.0,0.37,4.0,Jumia
Hp SPECTRE 14 X360 13TH GEN INTEL CORE I7 16GB RAM 1TB SSD BACKLIT KEYBOARD FP READER WINS 11,2280000.0,2590000.0,0.12,0.0,Jumia
Hp EliteBook 840 G6 TOUCHSCREEN Core I5/8GB RAM/256GB SSD/ BACKLIT KEYBOARD/ FR READER WIN 11+BAG,455000.0,520000.0,0.13,0.0,Jumia
"Asus TUF Gaming F15 FX516PC Intel Core I7 15.6""16GB/512 SSD Nvidia GPU 4GB Win 11",1619900.0,0.0,0.0,5.0,Jumia
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,505000.0,680000.0,0.26,3.9,Jumia
Hp EliteBook 840 G5 Intel Core I5-12GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,475000.0,700100.0,0.32,5.0,Jumia
"Hp Omen 16 Gaming 13th Gen Intel Core I7 16GB RAM/1TB SSD 16.1"" Nvidia RTX 4050 6GB WINS 11",2049000.0,2150000.0,0.05,5.0,Jumia
Hp Stream 11 Intel Celeron 4GB RAM-64GB SSD WIN 10+Flash LIGHT,180000.0,200000.0,0.1,4.1,Jumia
